Idle,Measurement,Wifi on,TX,,,micros,millis
74707,30,255936,729,,Idle,63475.78,63.48
64773,30,247285,729,,Measurement,29.34,0.03
64645,30,248007,729,,Wifi on,248014.78,248.01
64771,30,247599,730,,TX,728.09,0.73
51399,30,247654,725,,,,
51406,31,247847,725,,,,
51448,27,247505,725,,,,
56472,30,247845,722,,,,
56362,30,247287,729,,,,
70104,30,248156,728,,,,
70042,31,249849,731,,,,
68820,31,247752,729,,,,
68869,30,248081,729,,,,
68870,31,247383,729,,,,
72861,27,248094,729,,,,
72815,30,247239,729,,,,
72825,30,247445,730,,,,
72861,27,248094,729,,,,
58099,30,248155,729,,,,
58021,30,247623,730,,,,
58022,30,247623,729,,,,
51448,27,247506,726,,,,
51399,30,247655,725,,,,
51395,31,247668,726,,,,
74464,30,247485,730,,,,
74444,30,247826,728,,,,
74471,18,247429,728,,,,
56961,30,247683,729,,,,
57014,30,247239,729,,,,
54035,27,247918,725,,,,
68729,30,248325,729,,,,
68673,31,247280,730,,,,
